"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"01.01.2024 00:00 - 01.01.2024 00:30","N/A","700"
"01.01.2024 00:30 - 01.01.2024 01:00","N/A","686"
"01.01.2024 01:00 - 01.01.2024 01:30","N/A","648"
"01.01.2024 01:30 - 01.01.2024 02:00","N/A","629"
"01.01.2024 02:00 - 01.01.2024 02:30","N/A","592"
"01.01.2024 02:30 - 01.01.2024 03:00","N/A","564"
"01.01.2024 03:00 - 01.01.2024 03:30","N/A","559"
"01.01.2024 03:30 - 01.01.2024 04:00","N/A","572"
"01.01.2024 04:00 - 01.01.2024 04:30","N/A","553"
"01.01.2024 04:30 - 01.01.2024 05:00","N/A","527"
"01.01.2024 05:00 - 01.01.2024 05:30","N/A","507"
"01.01.2024 05:30 - 01.01.2024 06:00","N/A","494"
"01.01.2024 06:00 - 01.01.2024 06:30","N/A","482"
"01.01.2024 06:30 - 01.01.2024 07:00","N/A","477"
"01.01.2024 07:00 - 01.01.2024 07:30","N/A","479"
"01.01.2024 07:30 - 01.01.2024 08:00","N/A","489"
"01.01.2024 08:00 - 01.01.2024 08:30","N/A","512"
"01.01.2024 08:30 - 01.01.2024 09:00","N/A","539"
"01.01.2024 09:00 - 01.01.2024 09:30","N/A","568"
"01.01.2024 09:30 - 01.01.2024 10:00","N/A","591"
"01.01.2024 10:00 - 01.01.2024 10:30","N/A","628"
"01.01.2024 10:30 - 01.01.2024 11:00","N/A","636"
"01.01.2024 11:00 - 01.01.2024 11:30","N/A","669"
"01.01.2024 11:30 - 01.01.2024 12:00","N/A","711"
"01.01.2024 12:00 - 01.01.2024 12:30","N/A","747"
"01.01.2024 12:30 - 01.01.2024 13:00","N/A","784"
"01.01.2024 13:00 - 01.01.2024 13:30","N/A","818"
"01.01.2024 13:30 - 01.01.2024 14:00","N/A","859"
"01.01.2024 14:00 - 01.01.2024 14:30","N/A","897"
"01.01.2024 14:30 - 01.01.2024 15:00","N/A","942"
"01.01.2024 15:00 - 01.01.2024 15:30","N/A","961"
"01.01.2024 15:30 - 01.01.2024 16:00","N/A","963"
"01.01.2024 16:00 - 01.01.2024 16:30","N/A","958"
"01.01.2024 16:30 - 01.01.2024 17:00","N/A","945"
"01.01.2024 17:00 - 01.01.2024 17:30","N/A","N/A"
"01.01.2024 17:30 - 01.01.2024 18:00","N/A","N/A"
"01.01.2024 18:00 - 01.01.2024 18:30","N/A","995"
"01.01.2024 18:30 - 01.01.2024 19:00","N/A","1042"
"01.01.2024 19:00 - 01.01.2024 19:30","N/A","1086"
"01.01.2024 19:30 - 01.01.2024 20:00","N/A","1063"
"01.01.2024 20:00 - 01.01.2024 20:30","N/A","1018"
"01.01.2024 20:30 - 01.01.2024 21:00","N/A","968"
"01.01.2024 21:00 - 01.01.2024 21:30","N/A","919"
"01.01.2024 21:30 - 01.01.2024 22:00","N/A","887"
"01.01.2024 22:00 - 01.01.2024 22:30","N/A","865"
"01.01.2024 22:30 - 01.01.2024 23:00","N/A","832"
"01.01.2024 23:00 - 01.01.2024 23:30","N/A","812"
"01.01.2024 23:30 - 02.01.2024 00:00","N/A","783"
"02.01.2024 00:00 - 02.01.2024 00:30","N/A","754"
"02.01.2024 00:30 - 02.01.2024 01:00","N/A","730"
"02.01.2024 01:00 - 02.01.2024 01:30","N/A","691"
"02.01.2024 01:30 - 02.01.2024 02:00","N/A","654"
"02.01.2024 02:00 - 02.01.2024 02:30","N/A","610"
"02.01.2024 02:30 - 02.01.2024 03:00","N/A","585"
"02.01.2024 03:00 - 02.01.2024 03:30","N/A","560"
"02.01.2024 03:30 - 02.01.2024 04:00","N/A","563"
"02.01.2024 04:00 - 02.01.2024 04:30","N/A","546"
"02.01.2024 04:30 - 02.01.2024 05:00","N/A","535"
"02.01.2024 05:00 - 02.01.2024 05:30","N/A","522"
"02.01.2024 05:30 - 02.01.2024 06:00","N/A","512"
"02.01.2024 06:00 - 02.01.2024 06:30","N/A","502"
"02.01.2024 06:30 - 02.01.2024 07:00","N/A","501"
"02.01.2024 07:00 - 02.01.2024 07:30","N/A","507"
"02.01.2024 07:30 - 02.01.2024 08:00","N/A","521"
"02.01.2024 08:00 - 02.01.2024 08:30","N/A","567"
"02.01.2024 08:30 - 02.01.2024 09:00","N/A","640"
"02.01.2024 09:00 - 02.01.2024 09:30","N/A","703"
"02.01.2024 09:30 - 02.01.2024 10:00","N/A","776"
"02.01.2024 10:00 - 02.01.2024 10:30","N/A","839"
"02.01.2024 10:30 - 02.01.2024 11:00","N/A","898"
"02.01.2024 11:00 - 02.01.2024 11:30","N/A","940"
"02.01.2024 11:30 - 02.01.2024 12:00","N/A","987"
"02.01.2024 12:00 - 02.01.2024 12:30","N/A","1018"
"02.01.2024 12:30 - 02.01.2024 13:00","N/A","1040"
"02.01.2024 13:00 - 02.01.2024 13:30","N/A","1060"
"02.01.2024 13:30 - 02.01.2024 14:00","N/A","1072"
"02.01.2024 14:00 - 02.01.2024 14:30","N/A","1087"
"02.01.2024 14:30 - 02.01.2024 15:00","N/A","1108"
"02.01.2024 15:00 - 02.01.2024 15:30","N/A","1104"
"02.01.2024 15:30 - 02.01.2024 16:00","N/A","1094"
"02.01.2024 16:00 - 02.01.2024 16:30","N/A","1084"
"02.01.2024 16:30 - 02.01.2024 17:00","N/A","1074"
"02.01.2024 17:00 - 02.01.2024 17:30","N/A","1081"
"02.01.2024 17:30 - 02.01.2024 18:00","N/A","1094"
"02.01.2024 18:00 - 02.01.2024 18:30","N/A","1125"
"02.01.2024 18:30 - 02.01.2024 19:00","N/A","1198"
"02.01.2024 19:00 - 02.01.2024 19:30","N/A","1267"
"02.01.2024 19:30 - 02.01.2024 20:00","N/A","1284"
"02.01.2024 20:00 - 02.01.2024 20:30","N/A","1249"
"02.01.2024 20:30 - 02.01.2024 21:00","N/A","1189"
"02.01.2024 21:00 - 02.01.2024 21:30","N/A","1136"
"02.01.2024 21:30 - 02.01.2024 22:00","N/A","1104"
"02.01.2024 22:00 - 02.01.2024 22:30","N/A","1059"
"02.01.2024 22:30 - 02.01.2024 23:00","N/A","1016"
"02.01.2024 23:00 - 02.01.2024 23:30","N/A","983"
"02.01.2024 23:30 - 03.01.2024 00:00","N/A","925"
"03.01.2024 00:00 - 03.01.2024 00:30","N/A","886"
"03.01.2024 00:30 - 03.01.2024 01:00","N/A","830"
"03.01.2024 01:00 - 03.01.2024 01:30","N/A","774"
"03.01.2024 01:30 - 03.01.2024 02:00","N/A","723"
"03.01.2024 02:00 - 03.01.2024 02:30","N/A","675"
