Datetime,Total_Actual
2024-01-01 00:00:00,40863.25
2024-01-01 01:00:00,39456.75
2024-01-01 02:00:00,38425.75
2024-01-01 03:00:00,37688.75
2024-01-01 04:00:00,37293.75
2024-01-01 05:00:00,37551.75
2024-01-01 06:00:00,37205.0
2024-01-01 07:00:00,37805.0
2024-01-01 08:00:00,38509.75
2024-01-01 09:00:00,40531.5
2024-01-01 10:00:00,42941.25
2024-01-01 11:00:00,45519.25
2024-01-01 12:00:00,46589.5
2024-01-01 13:00:00,46090.25
2024-01-01 14:00:00,45824.0
2024-01-01 15:00:00,45914.25
2024-01-01 16:00:00,47832.75
2024-01-01 17:00:00,
2024-01-01 18:00:00,51218.0
2024-01-01 19:00:00,50192.75
2024-01-01 20:00:00,48064.75
2024-01-01 21:00:00,46052.0
2024-01-01 22:00:00,44512.75
2024-01-01 23:00:00,41854.75
2024-01-02 00:00:00,39132.0
2024-01-02 01:00:00,37750.5
2024-01-02 02:00:00,37639.25
2024-01-02 03:00:00,37919.75
2024-01-02 04:00:00,39952.75
2024-01-02 05:00:00,42971.0
2024-01-02 06:00:00,48227.5
2024-01-02 07:00:00,53078.75
2024-01-02 08:00:00,56651.0
2024-01-02 09:00:00,58671.0
2024-01-02 10:00:00,60378.0
2024-01-02 11:00:00,61893.0
2024-01-02 12:00:00,62298.75
2024-01-02 13:00:00,61673.0
2024-01-02 14:00:00,60802.5
2024-01-02 15:00:00,61166.0
2024-01-02 16:00:00,62506.0
2024-01-02 17:00:00,64464.25
2024-01-02 18:00:00,64233.5
2024-01-02 19:00:00,62490.25
2024-01-02 20:00:00,59312.5
2024-01-02 21:00:00,55897.75
2024-01-02 22:00:00,53043.75
2024-01-02 23:00:00,50021.5
2024-01-03 00:00:00,46995.5
2024-01-03 01:00:00,45083.75
2024-01-03 02:00:00,43952.75
2024-01-03 03:00:00,44290.75
2024-01-03 04:00:00,45707.25
2024-01-03 05:00:00,48567.5
2024-01-03 06:00:00,54337.25
2024-01-03 07:00:00,58857.0
2024-01-03 08:00:00,61686.5
2024-01-03 09:00:00,63125.5
2024-01-03 10:00:00,64063.25
2024-01-03 11:00:00,65514.5
2024-01-03 12:00:00,65570.75
2024-01-03 13:00:00,64216.25
2024-01-03 14:00:00,63074.75
2024-01-03 15:00:00,62623.75
2024-01-03 16:00:00,63205.5
2024-01-03 17:00:00,65669.5
2024-01-03 18:00:00,65760.5
2024-01-03 19:00:00,63783.25
2024-01-03 20:00:00,59928.0
2024-01-03 21:00:00,56884.5
2024-01-03 22:00:00,53824.25
2024-01-03 23:00:00,49987.5
2024-01-04 00:00:00,47242.5
2024-01-04 01:00:00,46038.25
2024-01-04 02:00:00,45312.0
2024-01-04 03:00:00,45669.75
2024-01-04 04:00:00,46913.75
2024-01-04 05:00:00,49357.5
2024-01-04 06:00:00,54285.0
2024-01-04 07:00:00,59912.5
2024-01-04 08:00:00,63640.25
2024-01-04 09:00:00,65128.0
2024-01-04 10:00:00,66387.5
2024-01-04 11:00:00,66636.75
2024-01-04 12:00:00,66705.5
2024-01-04 13:00:00,65826.75
2024-01-04 14:00:00,64829.5
2024-01-04 15:00:00,64136.0
