Datetime,Actual_DE,Actual_UK,Forecast_DE,Forecast_UK,Total_Actual
2024-01-01 00:00:00,40170.25,693.0,39523.75,,40863.25
2024-01-01 01:00:00,38818.25,638.5,37663.25,,39456.75
2024-01-01 02:00:00,37847.75,578.0,36652.25,,38425.75
2024-01-01 03:00:00,37123.25,565.5,36426.25,,37688.75
2024-01-01 04:00:00,36753.75,540.0,36427.0,,37293.75
2024-01-01 05:00:00,37051.25,500.5,36946.0,,37551.75
2024-01-01 06:00:00,36725.5,479.5,37697.75,,37205.0
2024-01-01 07:00:00,37321.0,484.0,39206.0,,37805.0
2024-01-01 08:00:00,37984.25,525.5,41851.25,,38509.75
2024-01-01 09:00:00,39952.0,579.5,45343.5,,40531.5
2024-01-01 10:00:00,42309.25,632.0,48030.5,,42941.25
2024-01-01 11:00:00,44829.25,690.0,50228.25,,45519.25
2024-01-01 12:00:00,45824.0,765.5,50236.0,,46589.5
2024-01-01 13:00:00,45251.75,838.5,49137.25,,46090.25
2024-01-01 14:00:00,44904.5,919.5,48562.0,,45824.0
2024-01-01 15:00:00,44952.25,962.0,47595.0,,45914.25
2024-01-01 16:00:00,46881.25,951.5,48424.5,,47832.75
2024-01-01 17:00:00,50120.5,,51255.25,,
2024-01-01 18:00:00,50199.5,1018.5,52495.75,,51218.0
2024-01-01 19:00:00,49118.25,1074.5,51773.5,,50192.75
2024-01-01 20:00:00,47071.75,993.0,49352.75,,48064.75
2024-01-01 21:00:00,45149.0,903.0,47279.75,,46052.0
2024-01-01 22:00:00,43664.25,848.5,47274.25,,44512.75
2024-01-01 23:00:00,41057.25,797.5,44545.25,,41854.75
2024-01-02 00:00:00,38390.0,742.0,42985.0,,39132.0
2024-01-02 01:00:00,37078.0,672.5,41476.5,,37750.5
2024-01-02 02:00:00,37041.75,597.5,40644.0,,37639.25
2024-01-02 03:00:00,37358.25,561.5,40977.25,,37919.75
2024-01-02 04:00:00,39412.25,540.5,42680.5,,39952.75
2024-01-02 05:00:00,42454.0,517.0,46136.5,,42971.0
2024-01-02 06:00:00,47726.0,501.5,52594.5,,48227.5
2024-01-02 07:00:00,52564.75,514.0,57377.75,,53078.75
2024-01-02 08:00:00,56047.5,603.5,59885.75,,56651.0
2024-01-02 09:00:00,57931.5,739.5,61252.25,,58671.0
2024-01-02 10:00:00,59509.5,868.5,61850.0,,60378.0
2024-01-02 11:00:00,60929.5,963.5,62394.25,,61893.0
2024-01-02 12:00:00,61269.75,1029.0,62103.5,,62298.75
2024-01-02 13:00:00,60607.0,1066.0,61411.75,,61673.0
2024-01-02 14:00:00,59705.0,1097.5,60125.25,,60802.5
2024-01-02 15:00:00,60067.0,1099.0,59829.0,,61166.0
2024-01-02 16:00:00,61427.0,1079.0,60081.75,,62506.0
2024-01-02 17:00:00,63376.75,1087.5,61734.75,,64464.25
2024-01-02 18:00:00,63072.0,1161.5,62359.5,,64233.5
2024-01-02 19:00:00,61214.75,1275.5,61183.25,,62490.25
2024-01-02 20:00:00,58093.5,1219.0,57936.25,,59312.5
2024-01-02 21:00:00,54777.75,1120.0,54120.0,,55897.75
2024-01-02 22:00:00,52006.25,1037.5,51009.75,,53043.75
2024-01-02 23:00:00,49067.5,954.0,47421.75,,50021.5
2024-01-03 00:00:00,46137.5,858.0,44904.25,,46995.5
2024-01-03 01:00:00,44335.25,748.5,43065.5,,45083.75
2024-01-03 02:00:00,43294.75,658.0,42152.25,,43952.75
2024-01-03 03:00:00,43656.25,634.5,42620.0,,44290.75
2024-01-03 04:00:00,45081.75,625.5,44437.0,,45707.25
2024-01-03 05:00:00,47957.5,610.0,48099.0,,48567.5
2024-01-03 06:00:00,53736.25,601.0,53994.0,,54337.25
2024-01-03 07:00:00,58238.5,618.5,58474.5,,58857.0
2024-01-03 08:00:00,60985.0,701.5,61023.5,,61686.5
2024-01-03 09:00:00,62279.0,846.5,62359.5,,63125.5
2024-01-03 10:00:00,63084.75,978.5,63165.5,,64063.25
2024-01-03 11:00:00,64448.0,1066.5,63819.75,,65514.5
2024-01-03 12:00:00,64460.75,1110.0,63694.0,,65570.75
2024-01-03 13:00:00,63089.25,1127.0,62777.75,,64216.25
2024-01-03 14:00:00,61937.75,1137.0,61316.0,,63074.75
2024-01-03 15:00:00,61490.25,1133.5,61013.75,,62623.75
2024-01-03 16:00:00,62105.5,1100.0,61369.75,,63205.5
2024-01-03 17:00:00,64559.0,1110.5,63382.25,,65669.5
2024-01-03 18:00:00,64586.5,1174.0,63974.75,,65760.5
2024-01-03 19:00:00,62472.25,1311.0,62600.75,,63783.25
2024-01-03 20:00:00,58666.5,1261.5,59482.75,,59928.0
2024-01-03 21:00:00,55714.0,1170.5,55861.0,,56884.5
2024-01-03 22:00:00,52734.75,1089.5,52582.0,,53824.25
2024-01-03 23:00:00,48999.5,988.0,48839.25,,49987.5
2024-01-04 00:00:00,46366.0,876.5,45412.25,,47242.5
2024-01-04 01:00:00,45278.25,760.0,43433.0,,46038.25
2024-01-04 02:00:00,44642.5,669.5,42684.0,,45312.0
2024-01-04 03:00:00,45027.25,642.5,43109.25,,45669.75
2024-01-04 04:00:00,46279.75,634.0,44758.5,,46913.75
2024-01-04 05:00:00,48751.5,606.0,48457.5,,49357.5
2024-01-04 06:00:00,53684.0,601.0,54464.0,,54285.0
2024-01-04 07:00:00,59303.5,609.0,58631.5,,59912.5
2024-01-04 08:00:00,62947.25,693.0,60947.0,,63640.25
2024-01-04 09:00:00,64255.0,873.0,62481.25,,65128.0
2024-01-04 10:00:00,65365.0,1022.5,63545.25,,66387.5
2024-01-04 11:00:00,65554.75,1082.0,64409.75,,66636.75
2024-01-04 12:00:00,65594.5,1111.0,64346.5,,66705.5
2024-01-04 13:00:00,64722.75,1104.0,63524.0,,65826.75
2024-01-04 14:00:00,63715.0,1114.5,61971.5,,64829.5
2024-01-04 15:00:00,63035.0,1101.0,61601.25,,64136.0
2024-01-04 16:00:00,63827.5,1081.5,61849.0,,64909.0
2024-01-04 17:00:00,65704.5,1107.5,63567.0,,66812.0
2024-01-04 18:00:00,64839.75,1198.5,64407.25,,66038.25
2024-01-04 19:00:00,63362.75,1342.5,62868.25,,64705.25
2024-01-04 20:00:00,59665.5,1282.5,59855.75,,60948.0
2024-01-04 21:00:00,56429.75,1190.0,56371.0,,57619.75
2024-01-04 22:00:00,53468.75,1110.0,53150.0,,54578.75
2024-01-04 23:00:00,50083.0,1016.5,49237.0,,51099.5
2024-01-05 00:00:00,46882.75,894.5,47663.25,,47777.25
2024-01-05 01:00:00,45242.0,778.5,45085.75,,46020.5
2024-01-05 02:00:00,44115.25,688.0,44665.5,,44803.25
2024-01-05 03:00:00,44397.0,660.5,45018.0,,45057.5
2024-01-05 04:00:00,45672.25,644.5,46136.0,,46316.75
2024-01-05 05:00:00,48107.75,624.0,47372.25,,48731.75
2024-01-05 06:00:00,52828.0,608.0,53454.25,,53436.0
