h,demand,cf_wind,cf_solar,cf_gas
h1,15520.6,0.254,0.0,1.0
h2,15387.0,0.368,0.0,1.0
h3,16564.4,0.401,0.062,1.0
h4,17953.9,0.326,0.0,1.0
h5,17334.8,0.405,0.0,1.0
h6,18169.0,0.294,0.0,1.0
h7,20448.1,0.181,0.028,1.0
h8,20568.7,0.317,0.222,1.0
h9,20241.9,0.356,0.459,1.0
h10,21565.4,0.329,0.679,1.0
h11,21094.1,0.258,0.789,1.0
h12,21226.3,0.206,0.91,1.0
h13,21721.2,0.31,0.99,1.0
h14,19728.8,0.423,0.929,1.0
h15,19435.9,0.452,0.825,1.0
h16,19780.7,0.447,0.677,1.0
h17,18736.1,0.286,0.463,1.0
h18,19064.7,0.26,0.305,1.0
h19,17357.8,0.392,0.0,1.0
h20,16282.0,0.403,0.006,1.0
h21,18017.4,0.384,0.003,1.0
h22,16244.1,0.191,0.03,1.0
h23,16236.7,0.283,0.033,1.0
h24,14998.2,0.35,0.0,1.0
h25,15860.5,0.392,0.009,1.0
h26,16737.1,0.414,0.01,1.0
h27,16252.7,0.364,0.0,1.0
h28,18138.2,0.379,0.0,1.0
h29,18117.1,0.36,0.0,1.0
h30,19170.2,0.408,0.0,1.0
h31,19721.1,0.378,0.0,1.0
h32,22423.2,0.359,0.269,1.0
h33,21560.9,0.332,0.476,1.0
h34,21205.6,0.36,0.666,1.0
h35,23008.2,0.392,0.786,1.0
h36,21471.2,0.375,0.918,1.0
h37,22506.3,0.384,0.873,1.0
h38,20464.6,0.461,0.914,1.0
h39,20486.6,0.375,0.826,1.0
h40,21080.5,0.302,0.68,1.0
h41,20788.0,0.425,0.429,1.0
h42,19558.6,0.245,0.253,1.0
h43,18556.5,0.268,0.0,1.0
h44,17691.5,0.381,0.0,1.0
h45,16137.6,0.396,0.022,1.0
h46,16278.8,0.255,0.06,1.0
h47,16197.9,0.324,0.002,1.0
h48,17320.5,0.307,0.0,1.0
h49,16860.5,0.316,0.006,1.0
h50,15480.0,0.431,0.028,1.0
h51,17626.8,0.412,0.019,1.0
h52,17675.3,0.354,0.082,1.0
h53,18153.4,0.312,0.0,1.0
h54,19941.6,0.248,0.008,1.0
h55,21027.2,0.469,0.046,1.0
h56,21637.8,0.403,0.292,1.0
h57,20803.0,0.299,0.419,1.0
h58,21658.6,0.414,0.675,1.0
h59,22421.2,0.351,0.871,1.0
h60,22986.3,0.333,1.0,1.0
h61,21666.2,0.391,0.976,1.0
h62,21546.9,0.297,0.911,1.0
h63,20280.4,0.329,0.797,1.0
h64,19536.1,0.366,0.742,1.0
h65,20371.7,0.317,0.499,1.0
h66,19986.0,0.41,0.222,1.0
h67,18026.6,0.507,0.0,1.0
h68,18127.0,0.297,0.009,1.0
h69,16958.9,0.224,0.016,1.0
h70,15646.0,0.197,0.0,1.0
h71,16122.3,0.345,0.0,1.0
