Type,Technology,Node,Hour,Value
Capacity,wind,north,-,67219.213
Capacity,wind,south,-,0.0
Capacity,solar,north,-,0.0
Capacity,solar,south,-,377588.18
Capacity,gas,north,-,0.0
Capacity,gas,south,-,0.0
Capacity,batt,north,-,6992.2514
Capacity,batt,south,-,97597.915
Generation,wind,north,0,0.0
Generation,wind,south,0,0.0
Generation,solar,north,0,0.0
Generation,solar,south,0,0.0
Generation,gas,north,0,0.0
Generation,gas,south,0,0.0
Generation,batt,north,0,
Generation,batt,south,0,
Charge,batt,north,0,0.0
Discharge,batt,north,0,0.0
Storage,batt,north,0,0.0
Charge,batt,south,0,0.0
Discharge,batt,south,0,32130.6
Storage,batt,south,0,0.0
Flow,TX,North-South,0,-12852.24
Generation,wind,north,1,37830.973
Generation,wind,south,1,0.0
Generation,solar,north,1,0.0
Generation,solar,south,1,8495.734
Generation,gas,north,1,0.0
Generation,gas,south,1,0.0
Generation,batt,north,1,
Generation,batt,south,1,
Charge,batt,north,1,4873.7333
Discharge,batt,north,1,0.0
Storage,batt,north,1,4386.36
Charge,batt,south,1,11349.974
Discharge,batt,south,1,0.0
Storage,batt,south,1,10214.976
Flow,TX,North-South,1,20916.04
Generation,wind,north,2,39363.571
Generation,wind,south,2,0.0
Generation,solar,north,2,0.0
Generation,solar,south,2,3964.6759
Generation,gas,north,2,0.0
Generation,gas,south,2,0.0
Generation,batt,north,2,
Generation,batt,south,2,
Charge,batt,north,2,6992.2514
Discharge,batt,north,2,0.0
Storage,batt,north,2,10679.386
Charge,batt,south,2,7697.7957
Discharge,batt,south,2,0.0
Storage,batt,south,2,17142.993
Flow,TX,North-South,2,20916.04
Generation,wind,north,3,23553.612
Generation,wind,south,3,0.0
Generation,solar,north,3,0.0
Generation,solar,south,3,13026.792
Generation,gas,north,3,0.0
Generation,gas,south,3,0.0
Generation,batt,north,3,
Generation,batt,south,3,
Charge,batt,north,3,0.0
Discharge,batt,north,3,0.0
Storage,batt,north,3,10679.386
Charge,batt,south,3,2868.6044
Discharge,batt,south,3,0.0
Storage,batt,south,3,19724.736
Flow,TX,North-South,3,10068.892
Generation,wind,north,4,23876.264
Generation,wind,south,4,0.0
Generation,solar,north,4,0.0
Generation,solar,south,4,0.0
Generation,gas,north,4,0.0
Generation,gas,south,4,0.0
Generation,batt,north,4,
Generation,batt,south,4,
Charge,batt,north,4,0.0
Discharge,batt,north,4,0.0
Storage,batt,north,4,10679.386
Charge,batt,south,4,0.0
Discharge,batt,south,4,14390.536
Storage,batt,south,4,5334.201
Flow,TX,North-South,4,8569.5445
Generation,wind,north,5,30248.646
Generation,wind,south,5,0.0
Generation,solar,north,5,0.0
Generation,solar,south,5,0.0
Generation,gas,north,5,0.0
Generation,gas,south,5,0.0
Generation,batt,north,5,
Generation,batt,south,5,
Charge,batt,north,5,0.0
Discharge,batt,north,5,3687.1349
Storage,batt,north,5,6992.2514
Charge,batt,south,5,0.0
Discharge,batt,south,5,132.21924
Storage,batt,south,5,5201.9817
Flow,TX,North-South,5,20308.581
Generation,wind,north,6,19117.144
Generation,wind,south,6,0.0
Generation,solar,north,6,0.0
Generation,solar,south,6,5663.8227
Generation,gas,north,6,0.0
Generation,gas,south,6,0.0
Generation,batt,north,6,
Generation,batt,south,6,
Charge,batt,north,6,0.0
Discharge,batt,north,6,6992.2514
Storage,batt,north,6,0.0
Charge,batt,south,6,0.0
Discharge,batt,south,6,5201.9817
Storage,batt,south,6,0.0
Flow,TX,North-South,6,11319.316
Generation,wind,north,7,0.0
Generation,wind,south,7,0.0
Generation,solar,north,7,0.0
Generation,solar,south,7,42828.2
Generation,gas,north,7,0.0
Generation,gas,south,7,0.0
Generation,batt,north,7,
Generation,batt,south,7,
Charge,batt,north,7,0.0
Discharge,batt,north,7,0.0
Storage,batt,north,7,0.0
Charge,batt,south,7,0.0
Discharge,batt,south,7,0.0
Storage,batt,south,7,0.0
Flow,TX,North-South,7,-17131.28
Generation,wind,north,8,0.0
Generation,wind,south,8,0.0
Generation,solar,north,8,0.0
Generation,solar,south,8,40383.8
Generation,gas,north,8,0.0
Generation,gas,south,8,0.0
Generation,batt,north,8,
Generation,batt,south,8,
Charge,batt,north,8,0.0
Discharge,batt,north,8,0.0
Storage,batt,north,8,0.0
Charge,batt,south,8,0.0
Discharge,batt,south,8,0.0
Storage,batt,south,8,0.0
Flow,TX,North-South,8,-16153.52
Generation,wind,north,9,0.0
Generation,wind,south,9,0.0
Generation,solar,north,9,0.0
Generation,solar,south,9,40996.4
Generation,gas,north,9,0.0
Generation,gas,south,9,0.0
Generation,batt,north,9,
Generation,batt,south,9,
Charge,batt,north,9,0.0
Discharge,batt,north,9,0.0
Storage,batt,north,9,0.0
Charge,batt,south,9,0.0
Discharge,batt,south,9,0.0
Storage,batt,south,9,0.0
Flow,TX,North-South,9,-16398.56
Generation,wind,north,10,0.0
Generation,wind,south,10,0.0
Generation,solar,north,10,0.0
Generation,solar,south,10,43937.2
Generation,gas,north,10,0.0
Generation,gas,south,10,0.0
Generation,batt,north,10,
Generation,batt,south,10,
Charge,batt,north,10,0.0
Discharge,batt,north,10,0.0
Storage,batt,north,10,0.0
Charge,batt,south,10,0.0
Discharge,batt,south,10,0.0
Storage,batt,south,10,0.0
Flow,TX,North-South,10,-17574.88
Generation,wind,north,11,0.0
Generation,wind,south,11,0.0
Generation,solar,north,11,0.0
Generation,solar,south,11,43252.0
Generation,gas,north,11,0.0
Generation,gas,south,11,0.0
Generation,batt,north,11,
Generation,batt,south,11,
Charge,batt,north,11,0.0
Discharge,batt,north,11,0.0
Storage,batt,north,11,0.0
Charge,batt,south,11,0.0
Discharge,batt,south,11,0.0
Storage,batt,south,11,0.0
Flow,TX,North-South,11,-17300.8
Generation,wind,north,12,0.0
Generation,wind,south,12,0.0
Generation,solar,north,12,0.0
Generation,solar,south,12,45488.8
Generation,gas,north,12,0.0
Generation,gas,south,12,0.0
Generation,batt,north,12,
Generation,batt,south,12,
Charge,batt,north,12,4534.1998
Discharge,batt,north,12,0.0
Storage,batt,north,12,4080.7798
Charge,batt,south,12,0.0
Discharge,batt,south,12,0.0
Storage,batt,south,12,0.0
Flow,TX,North-South,12,-20916.04
Generation,wind,north,13,0.0
Generation,wind,south,13,0.0
Generation,solar,north,13,0.0
Generation,solar,south,13,46567.96
Generation,gas,north,13,0.0
Generation,gas,south,13,0.0
Generation,batt,north,13,
Generation,batt,south,13,
Charge,batt,north,13,3814.7598
Discharge,batt,north,13,0.0
Storage,batt,north,13,7514.0637
Charge,batt,south,13,0.0
Discharge,batt,south,13,0.0
Storage,batt,south,13,0.0
Flow,TX,North-South,13,-20916.04
Generation,wind,north,14,0.0
Generation,wind,south,14,0.0
Generation,solar,north,14,0.0
Generation,solar,south,14,89434.767
Generation,gas,north,14,0.0
Generation,gas,south,14,0.0
Generation,batt,north,14,
Generation,batt,south,14,
Charge,batt,north,14,4647.8798
Discharge,batt,north,14,0.0
Storage,batt,north,14,11697.156
Charge,batt,south,14,44116.487
Discharge,batt,south,14,0.0
Storage,batt,south,14,39704.838
Flow,TX,North-South,14,-20916.04
Generation,wind,north,15,0.0
Generation,wind,south,15,0.0
Generation,solar,north,15,0.0
Generation,solar,south,15,142907.07
Generation,gas,north,15,0.0
Generation,gas,south,15,0.0
Generation,batt,north,15,
Generation,batt,south,15,
Charge,batt,north,15,4653.9598
Discharge,batt,north,15,0.0
Storage,batt,north,15,15885.719
Charge,batt,south,15,97597.915
Discharge,batt,south,15,0.0
Storage,batt,south,15,127542.96
Flow,TX,North-South,15,-20916.04
Generation,wind,north,16,0.0
Generation,wind,south,16,0.0
Generation,solar,north,16,0.0
Generation,solar,south,16,142789.11
Generation,gas,north,16,0.0
Generation,gas,south,16,0.0
Generation,batt,north,16,
Generation,batt,south,16,
Charge,batt,north,16,4732.5998
Discharge,batt,north,16,0.0
Storage,batt,north,16,20145.059
Charge,batt,south,16,97597.915
Discharge,batt,south,16,0.0
Storage,batt,south,16,215381.08
Flow,TX,North-South,16,-20916.04
Generation,wind,north,17,0.0
Generation,wind,south,17,0.0
Generation,solar,north,17,0.0
Generation,solar,south,17,141308.07
Generation,gas,north,17,0.0
Generation,gas,south,17,0.0
Generation,batt,north,17,
