'demand' 'cf_wind' 'cf_solar' 'cf_gas' 'co2_gas'
h1 16065.3 0.348 0.000 1.0 0.400
h2 15051.5 0.469 0.015 1.0 0.400
h3 14319.1 0.488 0.007 1.0 0.400
h4 16855.9 0.292 0.023 1.0 0.400
h5 19133.4 0.296 0.000 1.0 0.400
h6 17034.0 0.375 0.000 1.0 0.400
h7 18487.6 0.237 0.010 1.0 0.400
h8 21414.1 0.275 0.297 1.0 0.400
h9 20191.9 0.312 0.457 1.0 0.400
h10 20498.2 0.395 0.715 1.0 0.400
h11 21968.6 0.400 0.867 1.0 0.400
h12 21626.0 0.331 0.899 1.0 0.400
h13 20477.3 0.393 0.929 1.0 0.400
h14 21376.6 0.407 0.906 1.0 0.400
h15 20335.2 0.448 0.812 1.0 0.400
h16 20327.6 0.328 0.614 1.0 0.400
h17 20229.3 0.357 0.463 1.0 0.400
h18 18995.1 0.447 0.298 1.0 0.400
h19 17675.6 0.364 0.000 1.0 0.400
h20 17228.7 0.361 0.000 1.0 0.400
h21 17092.0 0.305 0.050 1.0 0.400
h22 15373.6 0.461 0.030 1.0 0.400
h23 16065.8 0.294 0.017 1.0 0.400
h24 15455.3 0.398 0.007 1.0 0.400
h25 15945.6 0.330 0.039 1.0 0.400
h26 17611.7 0.266 0.014 1.0 0.400
h27 17941.4 0.270 0.000 1.0 0.400
h28 18015.0 0.520 0.000 1.0 0.400
h29 18721.5 0.486 0.046 1.0 0.400
h30 17824.9 0.364 0.000 1.0 0.400
h31 20474.3 0.302 0.013 1.0 0.400
h32 20713.0 0.369 0.268 1.0 0.400
h33 21660.4 0.332 0.492 1.0 0.400
h34 21393.9 0.379 0.698 1.0 0.400
h35 22738.3 0.289 0.826 1.0 0.400
h36 23510.4 0.342 0.931 1.0 0.400
h37 23627.3 0.214 0.993 1.0 0.400
h38 20916.6 0.428 0.871 1.0 0.400
h39 22082.5 0.344 0.839 1.0 0.400
h40 20579.0 0.319 0.726 1.0 0.400
h41 19860.7 0.334 0.459 1.0 0.400
h42 18385.7 0.428 0.269 1.0 0.400
h43 17890.4 0.400 0.035 1.0 0.400
h44 17712.1 0.415 0.000 1.0 0.400
h45 17229.1 0.314 0.019 1.0 0.400
h46 16814.7 0.216 0.028 1.0 0.400
h47 15527.9 0.391 0.000 1.0 0.400
h48 17697.9 0.323 0.000 1.0 0.400
h49 16102.2 0.381 0.021 1.0 0.400
h50 15947.5 0.291 0.000 1.0 0.400
h51 17218.9 0.373 0.015 1.0 0.400
h52 18294.6 0.495 0.071 1.0 0.400
h53 18466.1 0.311 0.000 1.0 0.400
h54 19198.3 0.404 0.000 1.0 0.400
h55 20528.5 0.289 0.000 1.0 0.400
h56 20612.8 0.517 0.250 1.0 0.400
h57 21244.2 0.519 0.474 1.0 0.400
h58 20642.7 0.402 0.674 1.0 0.400
h59 23092.0 0.373 0.808 1.0 0.400
h60 22038.7 0.378 0.888 1.0 0.400
h61 21512.8 0.335 0.997 1.0 0.400
h62 22742.8 0.289 0.930 1.0 0.400
h63 21270.0 0.248 0.825 1.0 0.400
h64 19423.3 0.353 0.682 1.0 0.400
h65 20089.8 0.286 0.482 1.0 0.400
h66 20258.9 0.408 0.238 1.0 0.400
h67 19453.1 0.354 0.029 1.0 0.400
h68 17633.1 0.345 0.033 1.0 0.400
h69 17239.0 0.340 0.053 1.0 0.400
h70 15750.4 0.407 0.016 1.0 0.400
h71 16753.4 0.324 0.000 1.0 0.400
h72 14987.8 0.299 0.025 1.0 0.400
h73 15196.1 0.327 0.014 1.0 0.400
h74 16096.8 0.368 0.000 1.0 0.400
h75 15848.1 0.328 0.000 1.0 0.400
h76 16201.4 0.447 0.000 1.0 0.400
h77 17066.9 0.372 0.000 1.0 0.400
h78 18567.6 0.330 0.000 1.0 0.400
h79 19303.2 0.311 0.000 1.0 0.400
h80 19797.6 0.368 0.232 1.0 0.400
h81 21400.6 0.336 0.484 1.0 0.400
h82 20775.5 0.232 0.650 1.0 0.400
h83 19054.3 0.310 0.912 1.0 0.400
h84 21851.9 0.318 0.909 1.0 0.400
h85 20409.3 0.368 0.920 1.0 0.400
h86 20956.3 0.314 0.926 1.0 0.400
h87 19331.1 0.147 0.836 1.0 0.400
h88 18641.7 0.351 0.696 1.0 0.400
h89 18057.4 0.379 0.530 1.0 0.400
h90 19006.7 0.436 0.208 1.0 0.400
h91 17801.3 0.479 0.000 1.0 0.400
h92 16180.8 0.426 0.068 1.0 0.400
h93 14286.9 0.359 0.000 1.0 0.400
h94 15315.9 0.189 0.038 1.0 0.400
h95 14030.5 0.330 0.000 1.0 0.400
h96 13994.8 0.303 0.005 1.0 0.400
h97 14417.9 0.333 0.000 1.0 0.400
h98 15336.7 0.288 0.000 1.0 0.400
h99 14191.9 0.385 0.000 1.0 0.400
h100 16331.3 0.253 0.000 1.0 0.400
h101 17297.8 0.460 0.015 1.0 0.400
h102 16465.7 0.189 0.000 1.0 0.400
h103 18101.6 0.406 0.003 1.0 0.400
h104 18216.2 0.242 0.223 1.0 0.400
h105 19071.2 0.299 0.478 1.0 0.400
h106 19881.6 0.355 0.634 1.0 0.400
h107 20797.8 0.307 0.823 1.0 0.400
h108 20116.1 0.408 0.907 1.0 0.400
h109 18611.7 0.436 0.964 1.0 0.400
h110 19032.6 0.453 0.982 1.0 0.400
h111 19142.9 0.407 0.859 1.0 0.400
h112 18266.9 0.366 0.632 1.0 0.400
h113 15858.5 0.298 0.524 1.0 0.400
h114 16343.9 0.418 0.236 1.0 0.400
h115 15588.5 0.293 0.000 1.0 0.400
h116 15501.0 0.342 0.000 1.0 0.400
h117 13179.5 0.229 0.067 1.0 0.400
h118 13606.7 0.385 0.002 1.0 0.400
h119 13593.2 0.338 0.003 1.0 0.400
h120 12964.1 0.420 0.000 1.0 0.400
h121 13018.0 0.374 0.031 1.0 0.400
h122 13095.9 0.333 0.000 1.0 0.400
